10.600000    | -1.890453    -0.341425    | 2.231866    -0.819520    
10.700000    | -1.918809    -0.225886    | 2.144683    -0.922896    
10.800000    | -1.935681    -0.111874    | 2.047544    -1.018577    
10.900000    | -1.941254    0.000007    | 1.941236    -1.106209    
11.000000    | -1.935770    0.109179    | 1.826580    -1.185496    
11.100000    | -1.919527    0.215094    | 1.704423    -1.256193    
11.200000    | -1.892877    0.317233    | 1.575634    -1.318109    
11.300000    | -1.856223    0.415114    | 1.441099    -1.371111    
11.400000    | -1.810011    0.508290    | 1.301712    -1.415114    
11.500000    | -1.754735    0.596350    | 1.158377    -1.450090    
11.600000    | -1.690924    0.678922    | 1.011994    -1.476061    
11.700000    | -1.619145    0.755675    | 0.863462    -1.493097    
11.800000    | -1.539993    0.826318    | 0.713669    -1.501320    
11.900000    | -1.454093    0.890600    | 0.563487    -1.500897    
12.000000    | -1.362092    0.948316    | 0.413771    -1.492039    
12.100000    | -1.264654    0.999298    | 0.265352    -1.475001    
12.200000    | -1.162461    1.043424    | 0.119033    -1.450076    
12.300000    | -1.056201    1.080610    | -0.024412    -1.417596    
12.400000    | -0.946572    1.110815    | -0.164246    -1.377927    
12.500000    | -0.834271    1.134040    | -0.299771    -1.331465    
12.600000    | -0.719995    1.150321    | -0.430327    -1.278637    
12.700000    | -0.604436    1.159736    | -0.555301    -1.219893    
12.800000    | -0.488273    1.162398    | -0.674124    -1.155709    
12.900000    | -0.372176    1.158455    | -0.786278    -1.086575    
13.000000    | -0.256796    1.148089    | -0.891291    -1.013003    
13.100000    | -0.142765    1.131515    | -0.988748    -0.935512    
13.200000    | -0.030692    1.108976    | -1.078281    -0.854634    
13.300000    | 0.078840    1.080742    | -1.159579    -0.770905    
13.400000    | 0.185276    1.047112    | -1.232385    -0.684867    
13.500000    | 0.288093    1.008405    | -1.296494    -0.597058    
13.600000    | 0.386799    0.964961    | -1.351755    -0.508016    
13.700000    | 0.480939    0.917139    | -1.398073    -0.418272    
13.800000    | 0.570094    0.865315    | -1.435404    -0.328348    
13.900000    | 0.653882    0.809878    | -1.463754    -0.238753    
14.000000    | 0.731962    0.751226    | -1.483182    -0.149985    
14.100000    | 0.804033    0.689767    | -1.493795    -0.062522    
14.200000    | 0.869836    0.625916    | -1.495745    0.023175    
14.300000    | 0.929151    0.560089    | -1.489233    0.106667    
14.400000    | 0.981802    0.492704    | -1.474499    0.187537    
14.500000    | 1.027654    0.424179    | -1.451826    0.265393    
14.600000    | 1.066613    0.354927    | -1.421533    0.339871    
14.700000    | 1.098628    0.285354    | -1.383976    0.410634    
14.800000    | 1.123687    0.215861    | -1.339541    0.477372    
14.900000    | 1.141816    0.146835    | -1.288645    0.539809    
15.000000    | 1.153082    0.078655    | -1.231731    0.597697    
15.100000    | 1.157588    0.011683    | -1.169264    0.650820    
15.200000    | 1.155471    -0.053733    | -1.101732    0.698995    
15.300000    | 1.146904    -0.117262    | -1.029635    0.742070    
15.400000    | 1.132092    -0.178594    | -0.953492    0.779928    
15.500000    | 1.111268    -0.237436    | -0.873827    0.812480    
15.600000    | 1.084696    -0.293517    | -0.791174    0.839673    
15.700000    | 1.052665    -0.346588    | -0.706072    0.861483    
15.800000    | 1.015487    -0.396425    | -0.619057    0.877918    
15.900000    | 0.973495    -0.442824    | -0.530666    0.889015    
16.000000    | 0.927042    -0.485609    | -0.441430    0.894842    
16.100000    | 0.876499    -0.524625    | -0.351870    0.895493    
16.200000    | 0.822247    -0.559744    | -0.262499    0.891089    
16.300000    | 0.764683    -0.590864    | -0.173816    0.881779    
16.400000    | 0.704210    -0.617906    | -0.086302    0.867732    
16.500000    | 0.641240    -0.640817    | -0.000421    0.849144    
16.600000    | 0.576186    -0.659567    | 0.083383    0.826228    
16.700000    | 0.509465    -0.674152    | 0.164688    0.799218    
16.800000    | 0.441494    -0.684591    | 0.243098    0.768365    
16.900000    | 0.372684    -0.690925    | 0.318242    0.733936    
17.000000    | 0.303443    -0.693219    | 0.389776    0.696211    
17.100000    | 0.234172    -0.691556    | 0.457384    0.655483    
17.200000    | 0.165260    -0.686043    | 0.520782    0.612052    
17.300000    | 0.097088    -0.676803    | 0.579715    0.566230    
17.400000    | 0.030019    -0.663979    | 0.633959    0.518331    
17.500000    | -0.035594    -0.647730    | 0.683322    0.468676    
17.600000    | -0.099418    -0.628230    | 0.727646    0.417586    
17.700000    | -0.161138    -0.605667    | 0.766802    0.365383    
17.800000    | -0.220456    -0.580243    | 0.800696    0.312389    
17.900000    | -0.277098    -0.552169    | 0.829264    0.258920    
18.000000    | -0.330809    -0.521669    | 0.852475    0.205289    
18.100000    | -0.381359    -0.488972    | 0.870327    0.151802    
18.200000    | -0.428538    -0.454315    | 0.882850    0.098756    
18.300000    | -0.472165    -0.417942    | 0.890103    0.046438    
18.400000    | -0.512078    -0.380097    | 0.892171    -0.004874    
18.500000    | -0.548143    -0.341031    | 0.889170    -0.054916    
18.600000    | -0.580251    -0.300991    | 0.881239    -0.103438    
18.700000    | -0.608317    -0.260228    | 0.868541    -0.150203    
18.800000    | -0.632281    -0.218987    | 0.851264    -0.194990    
18.900000    | -0.652107    -0.177513    | 0.829616    -0.237595    
19.000000    | -0.667784    -0.136044    | 0.803824    -0.277833    
19.100000    | -0.679324    -0.094814    | 0.774134    -0.315532    
19.200000    | -0.686762    -0.054049    | 0.740807    -0.350544    
19.300000    | -0.690156    -0.013967    | 0.704119    -0.382735    
19.400000    | -0.689585    0.025224    | 0.664358    -0.411994    
19.500000    | -0.685148    0.063323    | 0.621821    -0.438226    
19.600000    | -0.676963    0.100144    | 0.576816    -0.461357    
19.700000    | -0.665168    0.135509    | 0.529655    -0.481332    
19.800000    | -0.649915    0.169256    | 0.480656    -0.498116    
19.900000    | -0.631376    0.201234    | 0.430139    -0.511690    
20.000000    | -0.609732    0.231304    | 0.378425    -0.522057    
20.100000    | -0.585182    0.259346    | 0.325834    -0.529235    
20.200000    | -0.557934    0.285249    | 0.272683    -0.533262    
20.300000    | -0.528207    0.308920    | 0.219285    -0.534191    
20.400000    | -0.496228    0.330280    | 0.165946    -0.532092    
20.500000    | -0.462230    0.349264    | 0.112965    -0.527050    
20.600000    | -0.426456    0.365823    | 0.060631    -0.519164    
20.700000    | -0.389148    0.379924    | 0.009223    -0.508549    
20.800000    | -0.350554    0.391545    | -0.040992    -0.495329    
20.900000    | -0.310922    0.400681    | -0.089761    -0.479642    
21.000000    | -0.270500    0.407343    | -0.136843    -0.461636    
21.100000    | -0.229535    0.411550    | -0.182016    -0.441469    
21.200000    | -0.188270    0.413341    | -0.225071    -0.419307    
21.300000    | -0.146946    0.412762    | -0.265817    -0.395322    
21.400000    | -0.105795    0.409875    | -0.304080    -0.369693    
21.500000    | -0.065045    0.404752    | -0.339707    -0.342605    
21.600000    | -0.024916    0.397476    | -0.372559    -0.314245    
21.700000    | 0.014381    0.388139    | -0.402519    -0.284803    
21.800000    | 0.052646    0.376845    | -0.429490    -0.254473    
21.900000    | 0.089689    0.363703    | -0.453391    -0.223444    
22.000000    | 0.125330    0.348834    | -0.474162    -0.191910    
